Gene "ID_REF"	"GSM243346"	"GSM243347"	"GSM243348"	"GSM243349"	"GSM243350"	"GSM243351"
105727 "1415903_at"	500.5	286	528.1	661.9	512.1	602
16956 "1415904_at"	312.3	329.9	367	383.4	449.7	400.9
19692 "1415905_at"	9.2	7.7	10.7	4.1	10.5	2.7
19241 "1415906_at"	7028.4	6865.8	6480.3	6694.8	6941.8	6737.1
12445 "1415907_at"	1165.1	1026.6	955.2	851.6	973.5	940.2
22110 "1415908_at"	369.2	382.3	474	480	590.5	443.6
20867 "1415909_at"	989.2	1113.7	997.1	913.5	859.9	935.7
109006 "1415910_s_at"	391.5	518.9	351.1	321.5	345.5	341.9
16210 "1415911_at"	277.8	323.5	357.4	333.1	371.3	317.9
NA "1415912_a_at"	4377.6	4567.4	4028.6	3873.7	4047.4	4148.1
NA "1415913_at"	41.1	62.8	55.2	60.7	30.8	35.1
15384 "1415914_at"	5414.9	5968.3	5253.2	5564.9	5142.5	5561.5
104721 "1415915_at"	1568.6	2032.6	1751.1	1773.8	1593.1	1890.6
108156 "1415916_a_at"	578.7	960.6	760.7	775.9	635.1	770.2
108156 "1415917_at"	537	661.3	499.1	434.2	417.7	517.9
21991 "1415918_a_at"	2895.6	3342.7	2806.9	2685.9	2504.7	2814.7
18146 "1415919_at"	178.1	127.8	120.4	116.8	159.4	134.5
83410 "1415920_at"	1258.1	1504.7	1407.4	1392.1	1521.8	1517.8
29820 "1415921_a_at"	43.8	17.7	38.5	24.3	20.7	29.5
17357 "1415922_s_at"	4256.9	3688.6	3181.9	3313	3432	3670.5
17984 "1415923_at"	1960.7	1708.7	1703.4	1606.7	2013.4	1749.8
21958 "1415924_at"	0.9	13.9	1.7	4.5	1.3	8.4
18226 "1415925_a_at"	1023.2	1020.3	809	713.4	751	856.5
18226 "1415926_at"	990.1	1016.6	895.6	816	778.3	1019
11464 "1415927_at"	229.1	188.3	241	469.9	2458.6	277.3
67443 "1415928_a_at"	1015	1130.8	1178.6	1252.9	1319	1375
67443 "1415929_at"	876.3	928.9	870.9	919.9	1017.2	996.9
67443 "1415930_a_at"	1193.4	1262	1304.1	1323.9	1512.9	1379.1
16002 "1415931_at"	144.8	60.1	114.2	118.3	130.9	96.8
11981 "1415932_x_at"	158.6	110.5	121.7	110.6	124	110.4
12858 "1415933_a_at"	4249.1	4631.8	4377.4	4331	4854.6	4365.9
108679 "1415934_at"	593.1	637.2	602.7	592.8	602.7	639.3
64074 "1415935_at"	277.2	233.1	210.7	236.9	433.3	177.1
29815 "1415936_at"	130	88	92.5	121.5	101.4	103
18571 "1415937_s_at"	179.8	127.8	126.1	114.5	145.3	107.3
20730 "1415938_at"	6.3	9.3	9.3	2.8	18.7	1.7
14264 "1415939_at"	48	18.1	23.6	16.8	18.6	15.8
100494 "1415940_at"	209.2	202.7	209.8	201.9	228.5	217.6
100494 "1415941_s_at"	122.9	138.4	143.2	122.7	147.1	148.1
110954 "1415942_at"	7420.6	7979.4	7137.5	7337.3	7124.8	7156.8
20969 "1415943_at"	609.4	505.9	515.7	467.3	440.4	465.2
20969 "1415944_at"	123.4	137.6	121.1	122.9	103.3	113.3
17218 "1415945_at"	1094.7	1205.9	972.5	953.5	866.3	1044.4
14755 "1415946_at"	289.2	282.9	243.3	276.4	255.8	282.1
NA "1415947_at"	315.8	257.1	254.3	284.2	263.4	321.3
433375 "1415948_at"	165.7	164.9	145.4	116.7	125.4	157.1
12876 "1415949_at"	744.8	757	815.2	1009.9	1220.9	1017.9
23980 "1415950_a_at"	3310.1	2841	2462.8	2583.7	2392.2	2559.2
14230 "1415951_at"	501.9	363.7	357.1	353.6	381.8	395.8
13728 "1415952_at"	388.2	305.5	269.2	264.8	261.8	245.7
13728 "1415953_s_at"	102	76.8	71.6	80	97.6	93.4
NA "1415954_at"	0.3	0.5	0.2	0.8	2.1	0.6
19118 "1415955_x_at"	8.1	10.1	4.9	8.6	26.4	20.6
18555 "1415956_a_at"	660	448.1	417.6	422.8	421.7	399.4
18114 "1415957_a_at"	530.8	500.1	526.6	547.3	499.9	541.5
20528 "1415958_at"	106.4	108.9	114.2	130.3	122.4	119.7
20528 "1415959_at"	54.3	53	61.7	55.5	72.3	55.7
17523 "1415960_at"	12.6	17.7	10.8	19.4	27.1	25
64294 "1415961_at"	1281.8	1203.4	1196.5	1187.4	1250.8	1314.4
68135 "1415962_at"	2666.2	3013.1	2778.4	2894.9	2970.1	3177.9
56258 "1415963_at"	1213.3	1359.9	1320.8	1359.1	1434	1342.4
20249 "1415964_at"	168.6	170.9	148.8	137.2	137.3	148.2
20249 "1415965_at"	39.9	52.9	40.4	40.1	63.8	42.2
17995 "1415966_a_at"	1073.2	1178.9	1121.6	1129.3	1019.2	1122.7
17995 "1415967_at"	1060.6	1172.5	998.2	1007.7	941.8	1093.8
16483 "1415968_a_at"	37.6	36	36	50.6	50.6	36.9
16483 "1415969_s_at"	4.3	2	2	5.7	2.8	1.5
12864 "1415970_at"	3491.8	4143.1	3647	3509.3	3606	3706.2
17118 "1415971_at"	4224.8	4379.2	4331.1	4528.8	5281.1	4454.7
17118 "1415972_at"	2968.5	2095.7	2359.7	2369	3012.5	2487.2
17118 "1415973_at"	3310.5	3172.6	3346.2	3410.9	4104.1	3403.6
26396 "1415974_at"	800.8	641.1	522.5	507.2	495.1	577.8
52502 "1415975_at"	296.4	287	251.2	297.6	271.5	312.3
52502 "1415976_a_at"	163.9	160.7	156.7	164.1	156.1	197.2
71780 "1415977_at"	1262.2	1640.1	1023.2	823.6	767	1163.5
22152 "1415978_at"	40.4	2	9.9	20	18.6	13
19989 "1415979_x_at"	7796.1	8484.7	7658.7	8148.3	7935.8	8017.5
67942 "1415980_at"	2392.8	3120.4	2761.2	2728.4	2843.7	3045.1
80517 "1415981_at"	482.2	393.1	332.5	376	370	379.4
80517 "1415982_at"	204.1	144.6	148.1	127.4	175.3	165
18826 "1415983_at"	143.7	141	124.4	156.2	210.6	159.9
11364 "1415984_at"	472.4	486.1	529.5	507.6	488.4	529
101943 "1415985_at"	1144.4	1228	1084.5	1031.1	941.7	1085.8
12727 "1415986_at"	307.1	199.3	193.6	201	233.7	239.1
110611 "1415987_at"	870	930.4	850.1	665.8	723.9	680.3
110611 "1415988_at"	111.8	84.4	166	142.1	114.4	113.1
22329 "1415989_at"	150.6	128.2	153.1	121.9	160.1	114.5
22334 "1415990_at"	2764.1	3269.7	2947.4	2847.8	2801.4	3162.9
71765 "1415991_a_at"	1098.5	1386.1	1291.6	1313	1283.3	1381.3
56703 "1415992_at"	142	99.5	100.6	93.6	78.5	84.1
